curve,cutoff,horizon,arm,actual,pred,mape,difficulty
run_4,4,1,B_lcpfn,1.1333833932876587,1.1352554559707642,0.16517470559323164,Easy
run_4,4,2,B_lcpfn,1.0974239110946655,1.1134463548660278,1.460004981610081,Easy
run_4,4,3,B_lcpfn,1.0621910095214844,1.0837998390197754,2.034363810707244,Easy
run_4,5,1,A_domhan,1.0974239110946655,1.082709677734014,1.3407975907846164,Easy
run_4,5,2,A_domhan,1.0621910095214844,1.044692222643448,1.6474237421685087,Easy
run_4,5,3,A_domhan,1.045780062675476,1.0136654650813675,3.0708749134065623,Easy
run_4,5,1,B_lcpfn,1.0974239110946655,1.0847641229629517,1.1535914247654673,Easy
run_4,5,2,B_lcpfn,1.0621910095214844,1.0590494871139526,0.29575870812039634,Easy
run_4,5,3,B_lcpfn,1.045780062675476,1.0332897901535034,1.1943498415927065,Easy
run_4,6,1,A_domhan,1.0621910095214844,1.0784269815804057,1.528536008437469,Easy
run_4,6,2,A_domhan,1.045780062675476,1.0574715829009818,1.1179712295905344,Easy
run_4,6,3,A_domhan,1.0358625650405884,1.0411054017028223,0.5061324580282015,Easy
run_4,6,1,B_lcpfn,1.0621910095214844,1.0588995218276978,0.30987719386454154,Easy
run_4,6,2,B_lcpfn,1.045780062675476,1.037660002708435,0.7764596263450485,Easy
run_4,6,3,B_lcpfn,1.0358625650405884,1.0190647840499878,1.621622554720123,Easy
run_4,7,1,A_domhan,1.045780062675476,1.035595528470155,0.9738696088033475,Easy
run_4,7,2,A_domhan,1.0358625650405884,1.0148273531366119,2.030695249919788,Easy
run_4,7,3,A_domhan,1.0364305973052979,0.9975238049127924,3.7539216319609343,Easy
run_4,7,1,B_lcpfn,1.045780062675476,1.032759666442871,1.2450415433713846,Easy
run_4,7,2,B_lcpfn,1.0358625650405884,1.016879677772522,1.8325681329475012,Easy
run_4,7,3,B_lcpfn,1.0364305973052979,1.0032376050949097,3.202625655464959,Easy
run_5,3,1,A_domhan,1.1730693578720093,1.2311542786240015,4.951533373726546,Medium
run_5,3,2,A_domhan,1.1072214841842651,1.1872060012657997,7.223894968084219,Medium
run_5,3,3,A_domhan,1.0587522983551025,1.1589523820504133,9.463977915418317,Medium
run_5,3,1,B_lcpfn,1.1730693578720093,1.2315016984939575,4.981149684784763,Medium
run_5,3,2,B_lcpfn,1.1072214841842651,1.2166941165924072,9.887148503878157,Medium
run_5,3,3,B_lcpfn,1.0587522983551025,1.1893388032913208,12.333999665370257,Medium
run_5,4,1,A_domhan,1.1072214841842651,1.105813250257089,0.1271862899421296,Medium
run_5,4,2,A_domhan,1.0587522983551025,1.0494198563202026,0.8814566022098814,Medium
run_5,4,3,A_domhan,1.0229768753051758,1.0051997263806194,1.7377860002214707,Medium
run_5,4,1,B_lcpfn,1.1072214841842651,1.1090738773345947,0.16730104832587517,Medium
run_5,4,2,B_lcpfn,1.0587522983551025,1.0810143947601318,2.102672781878831,Medium
run_5,4,3,B_lcpfn,1.0229768753051758,1.0456162691116333,2.2130894991838117,Medium
